Incident Report Number,Crime Type,Date,Time,LOCATION_TYPE,ADDRESS,LONGITUDE,LATITUDE,State,Country,Continent
201620304,AGG ASSAULT,1/2/2016,557,,W MARTIN LUTHER KING JR BLVD / NUECES ST,-97.74374779,30.2822369,Texas,United States of America,North America
20161142003,ASSAULT INFORMATION,4/22/2016,1800,,MANOR RD / ROGGE LN,-97.68131692,30.3045501,Texas,United States of America,North America
20165020427,THEFT,5/14/2016,2000,,WHELESS LN / LINDA LN,-97.68953997,30.31470658,Texas,United States of America,North America
2016811547,ASSAULT INFORMATION,3/21/2016,2126,,PROCK LN / SPRINGDALE RD,-97.69226286,30.27070178,Texas,United States of America,North America
201660757,ASSAULT W/INJURY-FAM/DATE VIOL,1/4/2016,1900,,CARVER AVE / WILKS AVE,-97.69862095,30.33182207,Texas,United States of America,North America
20168000451,THEFT FROM AUTO,11/26/2015,2300,,E 6TH ST / COMAL ST,-97.72654446,30.2630675,Texas,United States of America,North America
20161391153,MISSING ADULT,5/18/2016,1528,,E 9TH ST / N IH 35 SVRD SB,-97.73397487,30.26869438,Texas,United States of America,North America
20161220994,MISSING ADULT,5/1/2016,1417,,COMAL ST / NASH HERNANDEZ SR RD,-97.73212105,30.25106283,Texas,United States of America,North America
2016660715,MISSING ADULT,3/3/2016,0,,E 12TH ST / SALINA ST,-97.72088762,30.27365389,Texas,United States of America,North America
2016960007,THEFT,4/5/2016,6,,E 12TH ST / HARGRAVE ST,-97.7077292,30.27570349,Texas,United States of America,North America
20165020215,THEFT OF SERVICE,5/14/2016,1039,,E RIVERSIDE DR / CROSSING PL,-97.71746957,30.23163585,Texas,United States of America,North America
2016931196,AGG ASSAULT,4/2/2016,1548,,SENDERO HILLS PKWY / TOSCANA AVE,-97.64721293,30.28645744,Texas,United States of America,North America
2016631490,ASSAULT WITH INJURY,3/3/2016,1844,,AIRPORT BLVD / E 12TH ST,-97.70033651,30.27686098,Texas,United States of America,North America
20161470203,ASSAULT WITH INJURY,5/26/2016,500,,E 12TH ST / CHICON ST,-97.71991443,30.27378531,Texas,United States of America,North America
20161521780,INJURY TO ELDERLY PERSON,5/31/2016,2249,,S 1ST ST / LIGHTSEY RD,-97.76574127,30.23240908,Texas,United States of America,North America
20161901381,INJURY TO ELDERLY PERSON,7/8/2016,1803,,LAKE CREEK PKWY / N US 183 HWY SVRD SB,-97.79458828,30.4611394,Texas,United States of America,North America
20161530807,ASSAULT BY CONTACT,6/1/2016,1215,,AIRPORT BLVD / OAK SPRINGS DR,-97.69791388,30.27355474,Texas,United States of America,North America
20165020768,VIOL OF PROTECTIVE ORDER,5/19/2016,1100,,W BRAKER LN / N LAMAR BLVD,-97.68638032,30.38193221,Texas,United States of America,North America
20165024583,CRIMINAL MISCHIEF,6/13/2016,2100,,W 25TH ST / LONGVIEW ST,-97.75075248,30.28965289,Texas,United States of America,North America
20165009803,CRIMINAL MISCHIEF,3/7/2016,1642,,E MARTIN LUTHER KING JR BLVD / COMAL ST,-97.72514489,30.27910379,Texas,United States of America,North America
2016330450,AGG ROBBERY/DEADLY WEAPON,2/2/2016,850,,BENNETT AVE / DELMAR AVE,-97.69834258,30.3343522,Texas,United States of America,North America
20161590178,INDECENT EXPOSURE,6/7/2016,315,,W 25TH ST / PEARL ST,-97.74664097,30.28945446,Texas,United States of America,North America
20165004235,INDECENT EXPOSURE,1/20/2016,1700,,GUADALUPE ST / W 38TH ST,-97.73815152,30.30274027,Texas,United States of America,North America
20165027821,CRASH/LEAVING THE SCENE,7/6/2016,1600,,E 7TH ST / CHICON ST,-97.72211887,30.26257583,Texas,United States of America,North America
20165026252,CRASH/LEAVING THE SCENE,6/25/2016,1405,,HOWARD LN TO MOPAC SB RAMP / N MOPAC EXPY SB,-97.70013305,30.43313301,Texas,United States of America,North America
20165021052,CRASH/LEAVING THE SCENE,5/21/2016,258,,N IH 35 SVRD SB / E 6TH ST,-97.73501069,30.26587979,Texas,United States of America,North America
20165020090,CRASH/LEAVING THE SCENE,5/15/2016,230,,E 11TH ST / TRINITY ST,-97.73757106,30.27176241,Texas,United States of America,North America
20161411767,PUBLIC INTOXICATION,5/20/2016,2131,,E 8TH ST / RED RIVER ST,-97.73649438,30.26832192,Texas,United States of America,North America
20161281904,CRASH/LEAVING THE SCENE,5/7/2016,2319,,E CESAR CHAVEZ ST / LYNN ST,-97.72333379,30.25666258,Texas,United States of America,North America
20161281614,AGG ASSAULT,5/7/2016,2130,,MOAT CV / PRINCE VALIANT DR,-97.79150611,30.19202606,Texas,United States of America,North America
2016920117,INTERFER W/PO SERVICE ANIMALS,4/1/2016,125,,E 6TH ST / NECHES ST,-97.73825313,30.26678161,Texas,United States of America,North America
2016430383,DISTURBANCE - OTHER,2/12/2016,737,,HYRIDGE DR / MESA DR,-97.75083605,30.38022334,Texas,United States of America,North America
20165027656,DISTURBANCE - OTHER,5/1/2016,1500,,W 12TH ST / N LAMAR BLVD,-97.7514043,30.27689623,Texas,United States of America,North America
2016500502,DRIVING WHILE LICENSE INVALID,2/19/2016,811,,W MARTIN LUTHER KING JR BLVD / LAVACA ST,-97.74051451,30.28132717,Texas,United States of America,North America
2016371480,DRIVING WHILE LICENSE INVALID,2/6/2016,2013,,MANOR RD / AIRPORT BLVD,-97.70636683,30.28629196,Texas,United States of America,North America
20161001873,CUSTODY ARREST TRAFFIC WARR,4/9/2016,2300,,GROVE BLVD / MONTOPOLIS DR,-97.70708753,30.22020198,Texas,United States of America,North America
2016450427,DRIVING WHILE LICENSE INVALID,2/14/2016,446,,MEARNS MEADOW BLVD / RUTLAND DR,-97.70063501,30.36700221,Texas,United States of America,North America
2016291795,CUSTODY ARREST TRAFFIC WARR,1/29/2016,2123,,CHESTNUT AVE / MANOR RD,-97.71818371,30.28445162,Texas,United States of America,North America
20161141103,DRIVING WHILE LICENSE INVALID,4/23/2016,1520,,METRIC BLVD / W PARMER LN,-97.69058871,30.41323033,Texas,United States of America,North America
2016141372,CUSTODY ARREST TRAFFIC WARR,1/14/2016,1839,,NORTH LAKE CREEK PKWY / N FM 620 RD SB,-97.79022767,30.47106155,Texas,United States of America,North America
2016391777,DRIVING WHILE LICENSE INVALID,2/8/2016,2323,,E RIVERSIDE DR / WILLOW CREEK DR,-97.72566505,30.23767769,Texas,United States of America,North America
20161280598,DRIVING WHILE LICENSE INVALID,5/7/2016,1233,,N IH 35 SVRD NB / E CESAR CHAVEZ ST,-97.73579167,30.26099452,Texas,United States of America,North America
20161220380,INTERFER W/PO SERVICE ANIMALS,5/1/2016,314,,E 6TH ST / NECHES ST,-97.73825313,30.26678161,Texas,United States of America,North America
20161521900,RAPE,6/1/2016,139,,UNKNOWN,-97.67615288,30.33058555,Texas,United States of America,North America
20161790875,ASSAULT WITH INJURY,6/27/2016,1303,,N LAMAR BLVD / ZENNIA ST,-97.73029552,30.31960289,Texas,United States of America,North America
2016241339,FAILURE TO IDENTIFY,1/24/2016,2037,,GOBI DR / W STASSNEY LN,-97.78935848,30.21154625,Texas,United States of America,North America
2016620006,ROBBERY BY ASSAULT,2/28/2016,2100,,E WILLIAM CANNON DR / BLUFF SPRINGS RD,-97.76789963,30.18919271,Texas,United States of America,North America
20161530971,ROBBERY INFORMATION,5/29/2016,200,,E 6TH ST / TRINITY ST,-97.73934174,30.26706768,Texas,United States of America,North America
2016481243,EVADING VEHICLE,2/17/2016,1644,,DELONEY ST / E 12TH ST,-97.69275542,30.27806366,Texas,United States of America,North America
20161960168,DWI,7/14/2016,422,,S 1ST ST / W BEN WHITE BLVD SVRD WB,-97.76924545,30.22687964,Texas,United States of America,North America
20165025010,CRASH/LEAVING THE SCENE,6/17/2016,1531,,N IH 35 SVRD SB / E 38TH ST,-97.72017974,30.29430285,Texas,United States of America,North America
20161631062,ASSAULT  CONTACT-SEXUAL NATURE,4/21/2016,745,,ROBERT T MARTINEZ JR ST / GARDEN ST,-97.72197515,30.25301269,Texas,United States of America,North America
20161770212,ASSAULT  CONTACT-SEXUAL NATURE,6/25/2016,229,,TRINITY ST / E CESAR CHAVEZ ST,-97.74108315,30.26239435,Texas,United States of America,North America
20162101959,CRASH/FAIL STOP AND RENDER AID,7/28/2016,2319,,GILES LN / E US 290 HWY SVRD WB,-97.62328346,30.3312282,Texas,United States of America,North America
20162120742,CRASH/AUTO VS BICYCLE,7/30/2016,1045,,OAK SPRINGS DR / TILLERY ST,-97.69915175,30.27336292,Texas,United States of America,North America
2016200510,INDECENT EXPOSURE,1/20/2016,910,,RED RIVER ST / E 8TH ST,-97.73649438,30.26832192,Texas,United States of America,North America
20162191193,CRASH/FAIL STOP AND RENDER AID,8/6/2016,1120,,JOLLYVILLE RD / W BRAKER LN,-97.74886938,30.40069584,Texas,United States of America,North America
2016131374,INDECENT EXPOSURE,1/13/2016,1817,,E 5TH ST / RED RIVER ST,-97.73749138,30.26553403,Texas,United States of America,North America
20162000123,CRASH/CITY VEHICLE,7/18/2016,156,,W KOENIG LN / N LAMAR BLVD,-97.72634218,30.32594189,Texas,United States of America,North America
20161821773,EVADING VEHICLE,6/30/2016,2137,,W DITTMAR RD / LOGANBERRY DR,-97.78546886,30.18312987,Texas,United States of America,North America
20161700443,CRASH/NO INJURY,6/18/2016,653,,W 5TH ST / LAVACA ST,-97.74555148,30.26779557,Texas,United States of America,North America
20165026632,CRASH/LEAVING THE SCENE,6/28/2016,1000,,N US 183 HWY SVRD SB / POND SPRINGS RD,-97.77085536,30.43443516,Texas,United States of America,North America
2016911473,POSS MARIJUANA,3/31/2016,1757,,N MOPAC EXPY SB / WESTOVER TO MOPAC SB RAMP,-97.75858202,30.29779189,Texas,United States of America,North America
20161600535,THEFT OF SERVICE,6/8/2016,933,,E 6TH ST / N IH 35 SVRD NB,-97.73420932,30.26563526,Texas,United States of America,North America
20168003464,CRIMINAL MISCHIEF,7/23/2016,430,,W 25TH ST / LEON ST,-97.74921748,30.2895752,Texas,United States of America,North America
20161931929,AUTO THEFT INFORMATION,7/11/2016,1800,,DUVAL RD / N MOPAC EXPY SVRD SB,-97.71610131,30.40905558,Texas,United States of America,North America
20161070860,AUTO THEFT,4/15/2016,2200,,E 5TH ST / WALLER ST,-97.73094919,30.26351183,Texas,United States of America,North America
2016480730,UCW LICENSE PREMISE,2/17/2016,1134,,CAMERON RD / BROADMOOR DR,-97.70701102,30.31141872,Texas,United States of America,North America
201690103,POSS CONTROLLED SUB/NARCOTIC,1/9/2016,102,,E 51ST ST / ED BLUESTEIN BLVD NB,-97.66363247,30.29230132,Texas,United States of America,North America
20165021959,THEFT OF LICENSE PLATE,5/26/2016,1700,,FERGUSON LN / BROWN LN,-97.67413602,30.34486225,Texas,United States of America,North America
2016191183,CHILD ABUSE INFORMATION,1/19/2016,1625,,PRAIRIE TRL / PLAINS TRL,-97.69438785,30.38156086,Texas,United States of America,North America
2016410155,ASSAULT WITH INJURY,2/10/2016,223,,E 7TH ST / TRINITY ST,-97.73895531,30.26800598,Texas,United States of America,North America
2016780060,FALSE ALARM OR REPORT,3/18/2016,24,,E 5TH ST / CONGRESS AVE,-97.74317744,30.26711778,Texas,United States of America,North America
20161270834,ASSAULT BY THREAT,5/6/2016,302,,RED RIVER ST / E 7TH ST,-97.73682331,30.26740172,Texas,United States of America,North America
20168000669,ASSAULT BY THREAT,2/15/2016,1045,,E 51ST EB TO IH 35 SB RAMP / N IH 35 SB,-97.71183032,30.30741658,Texas,United States of America,North America
20162112034,RESISTING ARREST OR SEARCH,7/29/2016,2354,,RED RIVER ST / E 12TH ST,-97.73504968,30.27231913,Texas,United States of America,North America
20161000387,AUTO THEFT INFORMATION,4/9/2016,426,,E RIVERSIDE DR / S IH 35 SVRD NB,-97.73489103,30.24784065,Texas,United States of America,North America
20161250703,AUTO THEFT,4/23/2016,1830,,W 40TH ST / GUADALUPE ST,-97.73653103,30.30524327,Texas,United States of America,North America
20165012666,THEFT OF LICENSE PLATE,3/26/2016,0,,W PARMER LN / N IH 35 SVRD NB,-97.67395623,30.40786174,Texas,United States of America,North America
201661621,CRASH/FAIL STOP AND RENDER AID,1/6/2016,2314,,NORTH LAKE CREEK PKWY / LAKELINE MALL DR,-97.79393686,30.47525495,Texas,United States of America,North America
2016860160,CRASH/INTOXICATION ASSAULT,3/26/2016,118,,W 7TH ST / NUECES ST,-97.74807207,30.27057478,Texas,United States of America,North America
2016490903,CRASH/FATALITY,2/18/2016,1314,,N US 183 HWY SVRD NB / PECAN PARK BLVD,-97.79525504,30.46559711,Texas,United States of America,North America
2016501840,CRASH/AUTO VS PEDESTRIAN,2/19/2016,2308,,E RIVERSIDE DR / WILLOW CREEK DR,-97.72566505,30.23767769,Texas,United States of America,North America
2016630968,ASSAULT BY THREAT,3/3/2016,1611,,S 1ST ST / CUMBERLAND RD,-97.76210929,30.23820265,Texas,United States of America,North America
20161590079,DOC EXPOSURE,6/7/2016,130,,S CONGRESS AVE / W WILLIAM CANNON DR,-97.77887935,30.19301239,Texas,United States of America,North America
20165030353,BREACH OF COMPUTER SECURITY,7/24/2016,1,,E 5TH ST / CONGRESS AVE,-97.74317744,30.26711778,Texas,United States of America,North America
2016861291,AGG ROBBERY/DEADLY WEAPON,3/26/2016,1818,,WEBBERVILLE RD / GOODWIN AVE,-97.70551627,30.27132082,Texas,United States of America,North America
20161800754,AUTO THEFT,6/26/2016,300,,E 7TH ST / SAN MARCOS ST,-97.73211399,30.26602454,Texas,United States of America,North America
2016390839,FAMILY DISTURBANCE,2/8/2016,1327,,E SLAUGHTER LN / OLD LOCKHART RD,-97.76477325,30.15173968,Texas,United States of America,North America
2016922059,AUTO THEFT,4/1/2016,2237,,E 8TH ST / CONGRESS AVE,-97.74212041,30.2699045,Texas,United States of America,North America
20165021517,THEFT OF BICYCLE,5/18/2016,1800,,W 21ST ST / GUADALUPE ST,-97.74191231,30.283795,Texas,United States of America,North America
20165013101,THEFT OF BICYCLE,3/27/2016,2130,,E 6TH ST / MEDINA,-97.73155596,30.26474531,Texas,United States of America,North America
20165000913,THEFT OF BICYCLE,1/7/2016,1100,,CAMERON RD / E ST JOHNS AVE,-97.69231397,30.3260513,Texas,United States of America,North America
20165015484,BURGLARY OF VEHICLE,4/13/2016,2000,,E 5TH ST / COMAL ST,-97.72697163,30.26214932,Texas,United States of America,North America
2016371708,AGG ASSAULT,2/6/2016,2216,,MANCHACA RD / PRATHER LN,-97.78578828,30.23381323,Texas,United States of America,North America
20165015595,THEFT,4/8/2016,1629,,ED BLUESTEIN BLVD SB / BASTROP HWY SB,-97.69103765,30.24530991,Texas,United States of America,North America
20161380236,ROBBERY INFORMATION,5/17/2016,515,,CONGRESS AVE / W CESAR CHAVEZ ST,-97.74457355,30.26338078,Texas,United States of America,North America
20161861604,AGG ASSAULT,7/4/2016,2028,,W BEN WHITE BLVD SVRD EB / MANCHACA RD,-97.78852736,30.22963221,Texas,United States of America,North America
20165010486,CRASH/FAIL STOP AND RENDER AID,3/11/2016,1619,,SPRINGDALE RD / E MARTIN LUTHER KING JR BLVD,-97.68263537,30.28586106,Texas,United States of America,North America
20161520043,ASSAULT INFORMATION,5/31/2016,32,,N LAMAR BLVD / W ELLIOTT ST,-97.70294185,30.35533845,Texas,United States of America,North America
20161320176,EVADING VEHICLE,5/11/2016,407,,AIRPORT BLVD / W HIGHLAND MALL BLVD,-97.71584509,30.32885517,Texas,United States of America,North America
20161230435,BURGLARY NON RESIDENCE,4/30/2016,1700,,NORTHLAND DR / N MOPAC EXPY SVRD SB,-97.75596236,30.33678302,Texas,United States of America,North America
20165005860,ASSAULT BY CONTACT,10/28/2015,0,,MANOR RD / LOYOLA LN,-97.66715751,30.31005968,Texas,United States of America,North America
20161721092,AGG ROBBERY/DEADLY WEAPON,6/20/2016,1622,,LINDA LN / PEGGY ST,-97.68853364,30.31626179,Texas,United States of America,North America
20165010514,CRIMINAL MISCHIEF,3/11/2016,1752,,E 3RD ST / CONGRESS AVE,-97.74387418,30.26523963,Texas,United States of America,North America
2016381131,BURGLARY OF RESIDENCE,2/5/2016,1730,,7 LA POSADA DR,-97.68677894,30.21980866,Texas,United States of America,North America
20161251027,BURGLARY INFORMATION,5/4/2016,1521,,GARNER AVE / LINSCOMB AVE,-97.76491278,30.26118006,Texas,United States of America,North America
2016860113,DRIVING WHILE LICENSE INVALID,3/26/2016,54,,ED BLUESTEIN BLVD NB / LOYOLA LN,-97.66097584,30.30262867,Texas,United States of America,North America
20162151318,DRIVING WHILE LICENSE INVALID,8/2/2016,1827,,WAGON TRL / N LAMAR BLVD,-97.68895376,30.37739489,Texas,United States of America,North America
20161871958,DRIVING WHILE LICENSE INVALID,7/5/2016,2208,,E OLTORF ST / S PLEASANT VALLEY RD,-97.72777483,30.22745636,Texas,United States of America,North America
20162231879,ASSAULT WITH INJURY,8/10/2016,2311,,W ELLIOTT ST / GUADALUPE ST,-97.70105278,30.35413628,Texas,United States of America,North America
20165030916,BURGLARY OF VEHICLE,7/28/2016,345,,N PLEASANT VALLEY RD / E CESAR CHAVEZ ST,-97.71278851,30.25298738,Texas,United States of America,North America
2016341028,ASSAULT  CONTACT-SEXUAL NATURE,2/3/2016,1404,,ANTONE ST / AIRPORT BLVD,-97.70741879,30.29130817,Texas,United States of America,North America
20162191841,REQUEST TO APPREHEND,8/7/2016,22,,E 6TH ST / MEDINA,-97.73155596,30.26474531,Texas,United States of America,North America
20165023732,CRASH/LEAVING THE SCENE,6/8/2016,1650,,E 45TH ST / AVENUE H,-97.7256006,30.3072794,Texas,United States of America,North America
2016350428,DISTURBANCE - OTHER,2/4/2016,846,,W 45TH ST / GUADALUPE ST,-97.73298219,30.31084254,Texas,United States of America,North America
20161690154,ASSAULT WITH INJURY,6/17/2016,209,,E 6TH ST / NECHES ST,-97.73825313,30.26678161,Texas,United States of America,North America
2016442013,ASSAULT INFORMATION,2/13/2016,2312,,SAN JACINTO BLVD / E 4TH ST,-97.74106875,30.26552669,Texas,United States of America,North America
20161011347,RECKLESS CONDUCT,4/10/2016,1749,,W 7TH ST / WEST AVE,-97.75024516,30.27118793,Texas,United States of America,North America
2016651422,DISTURBANCE - OTHER,3/5/2016,1707,,CAMERON RD / E ST JOHNS AVE,-97.69231397,30.3260513,Texas,United States of America,North America
20161500209,INTERFER W/PO SERVICE ANIMALS,5/29/2016,215,,E 6TH ST / TRINITY ST,-97.73934174,30.26706768,Texas,United States of America,North America
20161040416,DRIVING WHILE LICENSE INVALID,4/13/2016,834,,TILLERY ST / GOVALLE AVE,-97.70220135,30.26599135,Texas,United States of America,North America
2016990638,DRIVING WHILE LICENSE INVALID,4/8/2016,1249,,BURTON DR / E OLTORF ST,-97.73370256,30.23091572,Texas,United States of America,North America
20161061401,DRIVING WHILE LICENSE INVALID,4/15/2016,1749,,W RUNDBERG LN / N LAMAR BLVD,-97.69702646,30.36313807,Texas,United States of America,North America
201672002,DRIVING WHILE LICENSE INVALID,1/7/2016,2344,,E 38TH ST / LIBERTY ST,-97.72893533,30.29823254,Texas,United States of America,North America
20161041840,DRIVING WHILE LICENSE INVALID,4/13/2016,2252,,E RIVERSIDE DR / S PLEASANT VALLEY RD,-97.72281244,30.2341129,Texas,United States of America,North America
20161250147,DRIVING WHILE LICENSE INVALID,5/4/2016,239,,E 14TH ST / SANCHEZ ST,-97.70613843,30.27803345,Texas,United States of America,North America
2016301944,DRIVING WHILE LICENSE INVALID,1/30/2016,2305,,LOYOLA LN / SANDSHOF DR,-97.64558925,30.29901472,Texas,United States of America,North America
20161081265,DRIVING WHILE LICENSE INVALID,4/17/2016,1834,,W RUNDBERG LN / N LAMAR BLVD,-97.69702646,30.36313807,Texas,United States of America,North America
20161400057,DRIVING WHILE LICENSE INVALID,5/19/2016,148,,W BRAKER LN / DOMAIN DR,-97.72563183,30.39234312,Texas,United States of America,North America
20165032513,THEFT,8/6/2016,1530,,S IH 35 SVRD SB / W SLAUGHTER LN,-97.78693052,30.167067,Texas,United States of America,North America
20165021863,CRIMINAL MISCHIEF,5/26/2016,1200,,W GIBSON ST / NEWTON ST,-97.75129841,30.25052668,Texas,United States of America,North America
20165020834,THEFT,5/19/2016,1600,,S 1ST ST / W BEN WHITE BLVD SVRD EB,-97.7696788,30.22618423,Texas,United States of America,North America
2016921891,AUTO THEFT,3/12/2016,1212,,S 1ST ST / W ELIZABETH ST,-97.75463732,30.25064893,Texas,United States of America,North America
20161360148,ROBBERY BY ASSAULT,5/15/2016,120,,E 6TH ST / CONGRESS AVE,-97.74281933,30.2680649,Texas,United States of America,North America
20162260367,FALSE REPORT TO PEACE OFFICER,8/13/2016,400,,PARKFIELD DR / CRIPPLE CREEK DR,-97.70101271,30.37489529,Texas,United States of America,North America
20161110191,FALSE REPORT TO PEACE OFFICER,4/20/2016,0,,RUTLAND DR / GOLDEN MEADOW DR,-97.71200323,30.3787701,Texas,United States of America,North America
20161931473,BURGLARY INFORMATION,7/11/2016,500,,7 MADRONA DR,-97.68526425,30.21926303,Texas,United States of America,North America
20161191154,ASSAULT BY CONTACT FAM/DATING,4/28/2016,1511,,W SLAUGHTER LN / MANCHACA RD,-97.82373291,30.17373443,Texas,United States of America,North America
20161921023,CRASH/CITY VEHICLE,7/10/2016,1546,,ALLANDALE RD / BURNET RD,-97.73982748,30.33485148,Texas,United States of America,North America
20165031815,CRASH/LEAVING THE SCENE,8/3/2016,840,,E 2ND ST / BRUSHY ST,-97.73514809,30.26183408,Texas,United States of America,North America
20161821203,REQUEST TO APPREHEND,6/30/2016,1556,,BARTON SPRINGS RD / ROBERT E LEE RD,-97.76499475,30.26476812,Texas,United States of America,North America
20165029255,CRASH/LEAVING THE SCENE,7/16/2016,1250,,E 51ST ST / BERKMAN DR,-97.69888228,30.30390569,Texas,United States of America,North America
20162211039,CRASH/LEAVING THE SCENE,8/8/2016,1430,,RESEARCH BLVD SVRD NB / N LAMAR BLVD SVRD SB,-97.71253502,30.34834815,Texas,United States of America,North America
2016740787,THEFT,3/14/2016,1140,,W BEN WHITE BLVD EB / S LAMAR BLVD NB,-97.80247738,30.23199059,Texas,United States of America,North America
20165005988,THEFT,2/9/2016,2000,,MONTEREY OAKS BLVD / W US 290 HWY SVRD WB,-97.83990112,30.23705626,Texas,United States of America,North America
20165019190,CRIMINAL MISCHIEF,5/8/2016,2200,,W 24TH ST / LONGVIEW ST,-97.75045107,30.28836241,Texas,United States of America,North America
20168000335,THEFT,1/23/2016,2345,,E 5TH ST / RED RIVER ST,-97.73749138,30.26553403,Texas,United States of America,North America
20161200213,AUTO THEFT,4/29/2016,255,,W 24TH ST / LEON ST,-97.74933376,30.28830964,Texas,United States of America,North America
20165019955,CRIMINAL MISCHIEF,5/13/2016,1550,,ANDERSON MILL RD / N US 183 HWY SVRD NB,-97.79003506,30.44889007,Texas,United States of America,North America
2016450065,AGG ROBBERY/DEADLY WEAPON,2/14/2016,112,,N IH 35 SVRD SB / E ANDERSON LN SVRD EB,-97.70065304,30.3395016,Texas,United States of America,North America
20165017548,SUSPICIOUS PERSON,4/27/2016,645,,BATTLE BEND BLVD / FORT CLARK DR,-97.76574474,30.20392416,Texas,United States of America,North America
20161200260,AGG ASSAULT,4/28/2016,2200,,CONGRESS AVE / E 7TH ST,-97.74247831,30.26896562,Texas,United States of America,North America
2016320118,ROBBERY INFORMATION,2/1/2016,150,,W WILLIAM CANNON DR / WEST GATE BLVD,-97.81539701,30.20719838,Texas,United States of America,North America
2016160737,ASSAULT WITH INJURY,1/16/2016,1143,,CONGRESS AVE / E 9TH ST,-97.74176228,30.27085162,Texas,United States of America,North America
